ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location,Violent
10534429,HZ278144,42496.75,024XX S HARDING AVE,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1013,10,22,30,6,1150432,1887539,2016,42516.65903,41.8473072,-87.72340645,"(41.847307202, -87.723406446)",0
10534430,HZ277741,42507.375,015XX S CHRISTIANA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1021,10,24,29,11,1154281,1892345,2016,42516.65903,41.86041954,-87.7091523,"(41.860419537, -87.709152299)",0
10534433,HZ277799,42506.70486,019XX S AVERS AVE,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,RESIDENCE,FALSE,TRUE,1014,10,24,29,11,1151048,1890126,2016,42516.65903,41.85439422,-87.72107801,"(41.854394221, -87.721078012)",0
10534493,HZ277366,42497.43403,026XX N CLARK ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1935,19,43,7,11,1171916,1917948,2016,42516.65903,41.93030564,-87.64366335,"(41.930305638, -87.643663352)",0
10534500,HZ278091,42504.65417,007XX S CENTRAL PARK AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,1133,11,24,27,26,1152491,1896658,2016,42516.65903,41.87229042,-87.71560907,"(41.872290417, -87.715609067)",0
10534503,HZ278290,42504.08333,0000X W HUBBARD ST,870,THEFT,POCKET-PICKING,OTHER,FALSE,FALSE,1831,18,42,8,6,1176050,1903312,2016,42516.65903,41.89005157,-87.62891376,"(41.890051565, -87.62891376)",0
10534523,HZ278265,42506.5,011XX S CANAL ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,ATHLETIC CLUB,FALSE,FALSE,124,1,2,28,11,1173305,1895406,2016,42516.65903,41.86841839,-87.63922936,"(41.868418387, -87.639229355)",0
10534525,HZ278255,42506.5,011XX S CANAL ST,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,124,1,2,28,6,1173305,1895406,2016,42516.65903,41.86841839,-87.63922936,"(41.868418387, -87.639229355)",0
10534530,HZ278302,42497.5,063XX N WINTHROP AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,FALSE,FALSE,2433,24,48,77,11,1167709,1942166,2016,42516.65903,41.9968525,-87.65842198,"(41.996852502, -87.65842198)",0
10534544,HZ278294,42501.4375,006XX W HARRISON ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,FALSE,124,1,2,28,08A,1172257,1897564,2016,42516.65903,41.87436328,-87.64301304,"(41.874363279, -87.643013039)",1
10534554,HZ278322,42487.34097,025XX N LARAMIE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,2521,25,31,19,11,1141285,1916586,2016,42516.65903,41.92718911,-87.75625949,"(41.927189109, -87.756259492)",0
9254783,HW392641,41488.6875,045XX N MOZART ST,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,TRUE,FALSE,1724,17,33,14,7,1156560,1930018,2013,42516.65903,41.96375159,-87.6997651,"(41.963751593, -87.699765101)",0
10527525,HZ270293,42509.00208,079XX S RHODES AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,624,6,6,44,11,1181279,1852574,2016,42516.66042,41.75070325,-87.61127663,"(41.750703254, -87.611276626)",0
10527539,HZ270322,42509.02778,064XX S GREEN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,723,7,16,68,14,1171746,1862045,2016,42516.66042,41.77690708,-87.6459326,"(41.776907076, -87.645932596)",0
10527541,HZ270328,42509.03819,010XX N PULASKI RD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1111,11,37,23,08B,1149529,1906707,2016,42516.66042,41.89992394,-87.72622292,"(41.899923944, -87.726222919)",1
10527543,HZ270307,42509.01389,027XX W HARRISON ST,460,BATTERY,SIMPLE,OTHER,FALSE,FALSE,1135,11,2,27,08B,1158248,1897253,2016,42516.66042,41.87380752,-87.69445629,"(41.873807522, -87.69445629)",1
10527544,HZ270314,42509.01389,025XX N FRANCISCO AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1414,14,35,22,3,1156612,1916775,2016,42516.66042,41.92741087,-87.69993372,"(41.927410868, -87.69993372)",1
10527548,HZ270315,42509.01042,009XX W GUNNISON ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2024,20,48,3,08B,1169242,1932412,2016,42516.66042,41.97005401,-87.65306772,"(41.970054013, -87.653067719)",1
10468063,HZ173650,42432.87292,010XX N CENTRAL AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,TRUE,FALSE,1524,15,37,25,18,,,2016,42518.65903,,,,0
10527267,HZ269458,42508.34722,009XX W 59TH ST,810,THEFT,OVER $500,CTA BUS,FALSE,FALSE,712,7,16,68,6,1171233,1865714,2016,42527.65833,41.78698648,-87.64770599,"(41.786986475, -87.647705986)",0
10527551,HZ270336,42509.02986,065XX S HERMITAGE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,725,7,15,67,18,1165795,1861295,2016,42516.66042,41.77497744,-87.66777008,"(41.774977442, -87.667770081)",0
